task_id,turn,answer_change_score,correctness_change_score,continuous_distance,base_num,gold_num,all_nums,all_scores,thinking_chars,orig_score
sharded-GSM8K/1019,1,0.3333333333333333,0.0,,,98.0,"['', '', '', '2', '15']","[0.0, 0.0, 0.0, 0.0, 0.0]",693,0.0
sharded-GSM8K/1019,2,1.0,0.0,0.27301942223504644,12,98.0,"['12', '4', '1', '100', '100']","[0.0, 0.0, 0.0, 0.0, 0.0]",3861,0.0
sharded-GSM8K/1019,3,1.0,0.3333333333333333,0.4195103718291298,3,98.0,"['3', '100', '61', '15', '24']","[0.0, 0.0, 1.0, 0.0, 0.0]",5576,0.0
sharded-GSM8K/1019,4,1.0,0.0,0.28175009962373193,4,98.0,"['4', '63', '48', '5', '63']","[0.0, 0.0, 0.0, 0.0, 0.0]",2594,0.0
sharded-GSM8K/547,1,1.0,0.0,0.01212136053234481,1,81.0,"['1', '', '2', '2', '2']","[0.0, 0.0, 0.0, 0.0, 0.0]",1147,0.0
sharded-GSM8K/547,2,0.6666666666666666,1.0,0.03157170626433795,3,81.0,"['3', '1', '3', '9', '81']","[0.0, 1.0, 1.0, 1.0, 1.0]",2927,1.0
sharded-GSM8K/598,1,1.0,0.0,,,69.0,"['', '1', '1', '1', '2']","[0.0, 0.0, 0.0, 0.0, 0.0]",1209,0.0
sharded-GSM8K/598,2,1.0,0.0,0.024293030854644418,1,69.0,"['1', '2', '3.45', '', '1']","[0.0, 0.0, 0.0, 0.0, 0.0]",3689,0.0
sharded-GSM8K/598,3,1.0,0.0,0.03686912274029499,2.00,69.0,"['2.00', '1', '8', '1', '69']","[0.0, 0.0, 0.0, 0.0, 1.0]",3689,1.0
sharded-GSM8K/965,1,1.0,0.0,,,374.0,"['', '1', '1', '1', '1']","[0.0, 0.0, 0.0, 0.0, 0.0]",617,0.0
sharded-GSM8K/965,2,1.0,0.0,,,374.0,"['', '2', '2', '1', '1']","[0.0, 0.0, 0.0, 0.0, 0.0]",3837,0.0
sharded-GSM8K/965,3,0.6666666666666666,0.0,0.00133155870974185,1,374.0,"['1', '1', '2', '', '1']","[0.0, 0.0, 0.0, 0.0, 0.0]",6317,0.0
sharded-GSM8K/965,4,1.0,0.0,0.22115201811737306,1,374.0,"['1', '300', '2', '30', '30']","[0.0, 0.0, 0.0, 0.0, 0.0]",3000,0.0
sharded-GSM8K/965,5,1.0,0.0,0.2433836794346794,3,374.0,"['3', '60', '1', '300', '2']","[0.0, 0.0, 0.0, 0.0, 0.0]",3746,0.0
sharded-GSM8K/965,6,1.0,0.0,0.23361062715474168,3,374.0,"['3', '30', '60', '240', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",4125,0.0
sharded-GSM8K/965,7,1.0,0.0,0.05048158098965381,1,374.0,"['1', '60', '2', '2', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",3027,0.0
sharded-GSM8K/965,8,1.0,0.0,0.5552256906868415,1,374.0,"['1', '300', '240', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",2798,0.0
sharded-GSM8K/965,9,0.0,0.0,0.0,300,374.0,"['300', '300', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",3626,0.0
sharded-GSM8K/965,10,0.0,0.0,0.0,300,374.0,"['300', '300', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",3467,0.0
sharded-GSM8K/965,11,0.0,0.0,0.0,300,374.0,"['300', '300', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",3279,0.0
sharded-GSM8K/965,12,0.0,0.0,0.0,300,374.0,"['300', '300', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",2047,0.0
sharded-GSM8K/965,13,0.0,0.0,0.0,300,374.0,"['300', '300', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",1956,0.0
sharded-GSM8K/965,14,0.3333333333333333,0.0,0.19095367156181445,300,374.0,"['300', '10', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",2596,0.0
sharded-GSM8K/965,15,1.0,0.0,0.41206356391802923,3,374.0,"['3', '30', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",2860,0.0
sharded-GSM8K/965,16,1.0,0.0,0.20012652585901491,4,374.0,"['4', '300', '10', '3', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",3130,0.0
sharded-GSM8K/965,17,0.3333333333333333,0.0,0.1944441048509129,300,374.0,"['300', '3', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",2425,0.0
sharded-GSM8K/965,18,1.0,0.0,0.581843111001271,4,374.0,"['4', '300', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",4177,0.0
sharded-GSM8K/965,19,0.3333333333333333,0.0,0.19095367156181445,300,374.0,"['300', '300', '10', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",5054,0.0
sharded-GSM8K/965,20,1.0,0.0,0.581843111001271,4,374.0,"['4', '300', '300', '300', '3']","[0.0, 0.0, 0.0, 0.0, 0.0]",2439,0.0
sharded-GSM8K/965,21,1.0,0.0,0.38878311314067515,4,374.0,"['4', '3', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",4035,0.0
sharded-GSM8K/965,22,1.0,0.0,0.581843111001271,4,374.0,"['4', '300', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",2520,0.0
sharded-GSM8K/965,23,1.0,0.0,0.23863797122452923,4,374.0,"['4', '30', '30', '300', '1']","[0.0, 0.0, 0.0, 0.0, 0.0]",3946,0.0
sharded-GSM8K/965,24,1.0,0.0,0.41024054111290004,4,374.0,"['4', '30', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",4010,0.0
sharded-GSM8K/965,25,1.0,0.0,0.06703540133615837,4,374.0,"['4', '30', '30', '30', '30']","[0.0, 0.0, 0.0, 0.0, 0.0]",4311,0.0
sharded-GSM8K/965,26,0.6666666666666666,0.0,0.1708492910586786,2,374.0,"['2', '10', '2', '240', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",3379,0.0
sharded-GSM8K/965,27,1.0,0.0,0.51939499246788,4,374.0,"['4', '300', '240', '240', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",2362,0.0
sharded-GSM8K/965,28,0.6666666666666666,0.0,0.24741007063083761,2,374.0,"['2', '30', '2', '360', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",2814,0.0
sharded-GSM8K/965,29,1.0,0.0,0.4881709332011845,4,374.0,"['4', '240', '240', '240', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",3890,0.0
sharded-GSM8K/965,30,1.0,0.0,0.51939499246788,4,374.0,"['4', '240', '300', '240', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",2945,0.0
sharded-GSM8K/965,31,1.0,0.0,0.3477924225795091,4,374.0,"['4', '240', '30', '240', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",2584,0.0
sharded-GSM8K/965,32,1.0,0.0,0.51939499246788,4,374.0,"['4', '300', '240', '240', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",2589,0.0
sharded-GSM8K/965,33,1.0,0.0,0.18684183200498095,4,374.0,"['4', '30', '2', '240', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",2308,0.0
sharded-GSM8K/965,34,1.0,0.0,0.16978781461169154,4,374.0,"['4', '10', '2', '240', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",2047,0.0
sharded-GSM8K/965,35,0.0,0.0,0.0,2,374.0,"['2', '2', '2', '2', '264']","[0.0, 0.0, 0.0, 0.0, 0.0]",1775,0.0
sharded-GSM8K/965,36,1.0,0.0,0.3529057024407205,4,374.0,"['4', '264', '2', '264', '2']","[0.0, 0.0, 0.0, 0.0, 0.0]",2375,0.0
sharded-GSM8K/965,37,0.6666666666666666,0.0,0.18365086427066257,2,374.0,"['2', '10', '2', '264', '2']","[0.0, 0.0, 0.0, 0.0, 0.0]",2219,0.0
sharded-GSM8K/965,38,0.3333333333333333,0.0,0.194939767891439,2,374.0,"['2', '300', '2', '2', '2']","[0.0, 0.0, 0.0, 0.0, 0.0]",2118,0.0
sharded-GSM8K/965,39,0.3333333333333333,0.0,0.24710074081566413,2,374.0,"['2', '2', '2', '414', '414']","[0.0, 0.0, 0.0, 0.0, 0.0]",2560,0.0
sharded-GSM8K/965,40,0.6666666666666666,0.0,0.2189432798835297,2,374.0,"['2', '300', '2', '30', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",2270,0.0
sharded-GSM8K/965,41,0.6666666666666666,0.0,0.3532290864011684,2,374.0,"['2', '264', '264', '2', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",4163,0.0
sharded-GSM8K/965,42,0.6666666666666666,0.0,0.20286204413148834,4,374.0,"['4', '4', '36', '264', '2']","[0.0, 0.0, 0.0, 0.0, 0.0]",3919,0.0
sharded-GSM8K/965,43,1.0,0.0,0.027549619643824023,2,374.0,"['2', '4', '30', '4', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",1038,0.0
sharded-GSM8K/965,44,0.6666666666666666,0.0,0.38789540733418065,4,374.0,"['4', '4', '300', '300', '300']","[0.0, 0.0, 0.0, 0.0, 0.0]",3150,0.0
